stim,x,y,theta,phi
./test/bendeddonut.png,737.5,362.636659,2.7407992050145586,1.2815615474880635
./test/bendeddonut.png,678.5,362.636659,1.5985669633883177,1.4405554484295284
./test/bendeddonut.png,501.5,362.636659,2.23399931950099,0.81215762016987814
./test/bendeddonut.png,855.5,362.636659,-0.19395914725989311,1.5707963267948966
./test/bendeddonut.png,708,345.604826,0.61924243697783588,1.5707963267948966
./test/bendeddonut.png,442.5,362.636659,2.3441468803381591,1.5707963267948966
./test/bendeddonut.png,531,345.604826,-2.2655346029915999,0.31240998703626621
./test/bendeddonut.png,649,345.604826,-0.25412474955563408,1.5707963267948966
./test/bendeddonut.png,590,413.732158,1.8090410849736416,1.4406942770761602
./test/bendeddonut.png,472,413.732158,-2.2863084885577023,1.5707963267948966
./test/bendeddonut.png,590,345.604826,-1.3397056595989996,0.69856996786291925
./test/bendeddonut.png,767,413.732158,0.24264766501773763,1.5707963267948966
./test/bendeddonut.png,649,413.732158,-1.8631023779688043,1.5707963267948966
./test/bendeddonut.png,796.5,362.636659,3.1217539868108686,1.5707963267948966
./test/bendeddonut.png,826,345.604826,0.94330808410696376,1.5707963267948966
./test/bendeddonut.png,796.5,396.700325,0.54124526391443617,1.5707963267948966
./test/bendeddonut.png,442.5,396.700325,-2.3691807731125176,1.5707963267948966
./test/bendeddonut.png,413,413.732158,-2.9459301942577416,1.5707963267948966
./test/bendeddonut.png,472,345.604826,0.09495170634275632,0.84380092438915932
./test/bendeddonut.png,501.5,396.700325,-0.46364760900080609,1.5707963267948966
./test/bendeddonut.png,678.5,396.700325,-1.2785938203001481,1.5707963267948966
./test/bendeddonut.png,619.5,362.636659,-2.2264919530364327,1.5707963267948966
./test/bendeddonut.png,560.5,362.636659,-0.94076241724898146,1.5707963267948966
./test/bendeddonut.png,767,345.604826,-0.40094962536609369,1.5707963267948966
./test/bendeddonut.png,619.5,396.700325,-0.30067639140012759,1.5707963267948966
